topic,unified_time_s,time_source,frame_id,format,data_length_bytes
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.8946588,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165649
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.8946588,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166266
/zed2i/zed_node/left/image_rect_color/compressed,1752754306.961617,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165535
/zed2i/zed_node/right/image_rect_color/compressed,1752754306.961617,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165976
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.0281348,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165714
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.0281348,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166070
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.0946689,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165560
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.0946689,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165981
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.161574,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165466
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.161574,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166049
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.2282128,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165783
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.2282128,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165735
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.294726,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165613
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.294726,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166026
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.361559,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165682
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.361559,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165900
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.428103,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165620
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.428103,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166084
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.494973,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165958
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.494973,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165945
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.561697,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165632
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.561697,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166158
/zed2i/zed_node/left/image_rect_color/compressed,1752754307.628073,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165650
/zed2i/zed_node/right/image_rect_color/compressed,1752754307.628073,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,165945
